French,English
je,I
de,of
est,east
pas,not
le,the
vous,you
la,there
tu,you
que,that
un,a
il,he
et,and
à,has
a,has
ne,born
les,the
ce,this
en,in
on,we
ça,that
une,a
ai,have
pour,for
des,of the
moi,me
qui,who
nous,we
y,y
mais,but
me,me
dans,in
du,of
bien,good
elle,she
si,if
tout,all
plus,more
non,no
mon,my
suis,am
te,you
au,at
avec,with
va,go
oui,yes
toi,you
fait,do
ils,they
as,as
être,be
faire,to do
se,se
comme,as
était,was
sur,on
quoi,what
ici,here
sais,know
lui,him
veux,want
ma,my
là,there
rien,nothing
dit,said
es,es
où,or
votre,your
pourquoi,why
sont,are
cette,this
quand,when
par,by
son,her
ton,your
peux,can
vais,go
dire,say
alors,so
comment,how
avez,have
bon,good
ou,or
très,very
merci,thanks
ont,have
même,even
jamais,never
aussi,also
voir,see
chose,thing
allez,go on
tous,all
deux,two
ces,these
faut,must
sa,her
êtes,are
été,summer
ta,your
fais,do 
avoir,to have
peut,can
autre,other
m,m
encore,again
maintenant,now
peu,little
mes,my
vraiment,really
temps,time
notre,our
toujours,always
vie,life
sans,without
juste,just
oh,oh
avait,had
accord,agreement
vu,seen
monde,world
quelque,some
fois,times
aller,go
trop,too much
viens,come
crois,believe
dieu,god
dois,must
homme,man
père,father
sûr,on
aux,to
leur,their
avant,before
étais,is
besoin,need
femme,women
aime,love
personne,person
avais,had
chez,at the house of
vrai,true
ans,years
mal,wrong
ses,his
parler,talk
vos,your
après,after
mort,dead
veut,wanna
eu,eu
sera,will be
bonne,good
parce,because
mieux,better
petit,little
voilà,there
tes,your 
ca,that
dis,say
beaucoup,a lot
depuis,since
doit,must
vois,see 
mère,mother
vas,go
monsieur,sir
quel,what
déjà,already
fille,girl
gens,people
donc,so
jour,day
soir,evening
autres,others
ii,ii
toute,all
bonjour,good morning
ll,ll
maison,house
nom,name
argent,money
nos,our
ouais,yeah
pense,think
merde,shit
nuit,night
papa,dad
cela,that
salut,hi
cet,this
avons,have
reste,stay
désolé,sorry
maman,mom
peur,fear
arrive,arrived
seul,alone
vite,quickly
prendre,take
regarde,look at
air,air
soit,either
trois,three
quelle,what
passé,pass
savoir,know
plaît,jail
choses,things
moins,less
fils,son
entre,between
bas,down
appelle,call
passe,pass
ah,ah
tête,head
demain,tomorrow
grand,big
arrête,stopped
faites,do
voulez,want
hé,hey
attends,hold on
hein,eh
enfants,children
assez,enough
raison,reason
aurais,would have
voulais,wanted
elles,they
parle,speak
ok,ok
jours,days
dû,of
moment,moment
heure,hour
puis,then
gars,guys
hommes,men
amour,love
tard,late
toutes,all
sommes,are
tuer,kill
eh,eh
ami,friend
connais,know
petite,small
aider,help
chance,chance
savez,know
partir,leave
sait,knows
combien,how much
voiture,car
tant,so much
pris,taken
part,go
problème,issue
prends,take
porte,door
coup,cut
serait,would be
venir,come
hui,hui
famille,family
travail,work
pu,could
seule,alone
sens,sense
ni,neither
allons,let's go
revoir,goodbye
idée,idea
putain,whore
passer,pass
contre,against
comprends,understand
entendu,heard
trouvé,find
trouver,find
vieux,old
vient,come
pendant,during
aurait,would have
quelques,a few
attention,attention
demande,request
chercher,seek
sous,below
voici,here is
pourrait,could
sang,blood
pouvez,can
sortir,to go out
question,question
histoire,history
amis,friends
venez,come
frère,brother
rester,stay
fini,finished
ville,city
nouveau,new
truc,thing
tiens,hold
mois,month
eux,them
mec,dude
yeux,eyes
laisse,leave alone
super,great
belle,beautiful
longtemps,a long time
police,police
eau,water
heures,hours
car,because
importe,imported
cas,case
vont,are going
